Start Time,Sleep Cycle
1900-01-01 00:33:00,Light Sleep
1900-01-01 00:46:00,Deep Sleep
1900-01-01 01:14:00,Light Sleep
1900-01-01 01:21:00,Awake
1900-01-01 01:22:00,Light Sleep
1900-01-01 01:23:00,REM Sleep
1900-01-01 01:51:00,Light Sleep
1900-01-01 02:31:00,Deep Sleep
1900-01-01 02:49:00,Light Sleep
1900-01-01 03:00:00,REM Sleep
1900-01-01 03:31:00,Light Sleep
1900-01-01 04:21:00,Deep Sleep
1900-01-01 04:37:00,Light Sleep
1900-01-01 05:01:00,Deep Sleep
1900-01-01 05:12:00,Light Sleep
1900-01-01 05:16:00,REM Sleep
1900-01-01 06:00:00,Light Sleep
1900-01-01 06:02:00,REM Sleep
1900-01-01 06:11:00,Light Sleep
1900-01-01 07:09:00,REM Sleep
1900-01-01 07:42:00,Light Sleep
1900-01-01 08:24:00,End of Sleep
