Start Time,Sleep Cycle
2022-04-13 22:29:00,Light Sleep
2022-04-13 22:36:00,Deep Sleep
2022-04-13 22:57:00,Light Sleep
2022-04-13 23:11:00,REM Sleep
2022-04-13 23:17:00,Light Sleep
2022-04-13 23:41:00,Deep Sleep
2022-04-13 23:44:00,Light Sleep
2022-04-13 23:56:00,Deep Sleep
2022-04-14 00:05:00,Light Sleep
2022-04-14 00:12:00,Deep Sleep
2022-04-14 00:50:00,Light Sleep
2022-04-14 01:40:00,REM Sleep
2022-04-14 02:10:00,Light Sleep
2022-04-14 03:53:00,Deep Sleep
2022-04-14 04:04:00,Light Sleep
2022-04-14 04:35:00,REM Sleep
2022-04-14 04:41:00,Light Sleep
2022-04-14 05:40:00,REM Sleep
2022-04-14 05:51:00,Light Sleep
2022-04-14 05:52:00,REM Sleep
2022-04-14 05:56:00,Unmeasurable
2022-04-14 06:17:00,REM Sleep
2022-04-14 06:24:00,Light Sleep
2022-04-14 06:58:00,REM Sleep
2022-04-14 07:34:00,Light Sleep
2022-04-14 07:42:00,End of Sleep
